patient_id,valid_labels,ncc_before,ncc_after,mean_dice_before,mean_dice_after,dice_label_1_before,dice_label_1_after,dice_label_2_before,dice_label_2_after,mean_hd95_after_mm,mean_assd_after_mm,negative_jacobian_ratio,below_safe_jacobian_ratio,minimum_jacobian,mean_jacobian,mean_displacement_mm,p95_displacement_mm,inference_seconds
24,1;2,0.22154279053211212,0.573880136013031,0.5312089541454396,0.6514413365336629,0.413012729844413,0.4827586206896552,0.6494051784464661,0.8201240523776706,4.152989390993066,0.9894532836684683,0.0051083373837172985,0.17078490555286407,-3.1193435192108154,0.8862425088882446,7.335519790649414,16.67803382873535,5.965150507166982
27,1;2,0.21418243646621704,0.5343016982078552,0.42000937690052664,0.5465077325862582,0.3561239547466798,0.4975222993062438,0.48389479905437355,0.5954931658662727,10.167132657631665,2.5167933703160417,0.003939819056540728,0.1373889148235321,-5.086617469787598,0.9003522992134094,6.193935394287109,14.13859748840332,1.0304907336831093
29,,0.11980139464139938,0.3379448652267456,nan,nan,,,,,nan,nan,0.00660858117043972,0.3197891116142273,-9.249049186706543,0.871454119682312,10.087263107299805,24.014453887939453,0.29107785876840353
33,1;2,0.24240168929100037,0.6528456211090088,0.3487626194943268,0.3215215553677092,0.06016260162601626,0.054285714285714284,0.6373626373626373,0.5887573964497042,18.3280628350677,5.5267672432694885,0.0067285154946148396,0.18675445020198822,-3.454472541809082,0.8774535059928894,7.074416160583496,17.6715087890625,0.28285681270062923
36,1;2,0.16009917855262756,0.5502818822860718,0.5394877106411694,0.6579836142940054,0.42420102464015613,0.48776905259589853,0.6547743966421826,0.8281981759921124,7.458203932499369,2.481177191981613,0.004975585732609034,0.17247222363948822,-6.070014953613281,0.9010040760040283,6.383771896362305,16.18929100036621,0.2942094383761287
67,1;2,0.16098745167255402,0.4505870044231415,0.39507473298220946,0.5483460559796438,0.5926459985580389,0.6666666666666666,0.19750346740638003,0.4300254452926209,7.400751204116767,1.7309273496515085,0.0028518675826489925,0.14516295492649078,-5.106106758117676,0.916042149066925,5.2101263999938965,11.881757736206055,0.30590156838297844
94,2,0.10952479392290115,0.4820857644081116,0.24366150806717154,0.27450980392156865,,,0.24366150806717154,0.27450980392156865,10.606601717798213,3.7668812855361065,0.0048309327103197575,0.17196105420589447,-5.189512252807617,0.8726763725280762,7.46925163269043,15.883174896240234,0.28398999478667974
113,1;2,0.26232531666755676,0.6809486746788025,0.7279945322784791,0.7891317625224299,0.7365530767344938,0.7959096262983189,0.7194359878224643,0.7823538987465408,4.810660171779821,1.11852980454338,0.006754150148481131,0.2041250616312027,-4.017629146575928,0.8642652630805969,7.378372669219971,18.007110595703125,0.28824510239064693
127,1;2,0.17531786859035492,0.457198828458786,0.4391482054560948,0.4558965772049819,0.23842126459927507,0.2120734908136483,0.6398751463129145,0.6997196635963155,19.5,4.311416544211335,0.0026675413828343153,0.1410617083311081,-1.9574404954910278,0.9091618061065674,5.036130428314209,10.69311809539795,0.2937839236110449
129,2,0.11398503929376602,0.6360689997673035,0.02168021680216802,0.27710843373493976,,,0.02168021680216802,0.27710843373493976,10.800977148855305,2.7273365239110676,0.008452453650534153,0.26921936869621277,-5.517787933349609,0.8617868423461914,8.838998794555664,17.55255699157715,0.28414268232882023
156,1,0.3209773302078247,0.46201980113983154,0.5026197604790419,0.6265700483091787,0.5026197604790419,0.6265700483091787,,,5.408326913195984,1.6770182462934666,0.001115722581744194,0.06624756008386612,-0.9678601026535034,0.9500161409378052,2.3714957237243652,4.963452339172363,0.2922227652743459
166,1;2,0.3568313419818878,0.5002589821815491,0.7367623525906697,0.7865519743251639,0.6194783340344973,0.7209182357492907,0.854046371146842,0.8521857129010372,4.391367324889903,1.2367640205185868,0.0009692382882349193,0.07293152064085007,-2.0506348609924316,0.9431406855583191,2.6935088634490967,5.637393951416016,0.29058344289660454
171,1,0.1823485940694809,0.654220461845398,0.8327000102701038,0.8143712574850299,0.8327000102701038,0.8143712574850299,,,3.3541019662496847,1.0890347204169024,0.0066323853097856045,0.2348586916923523,-4.122506141662598,0.849495530128479,9.238564491271973,19.85432243347168,0.3063531266525388
177,2,0.30571484565734863,0.4990342855453491,0.6029572935194668,0.8321927321397005,,,0.6029572935194668,0.8321927321397005,9.0,1.6811292282326769,0.002099609235301614,0.09675780683755875,-3.5823378562927246,0.9312360882759094,3.220233678817749,6.88795280456543,0.28026814851909876
184,1;2,0.21913780272006989,0.46487516164779663,0.4758133356650316,0.5474615421352322,0.2245230562745662,0.29748341054213095,0.727103615055497,0.7974396737283336,11.222992529143234,2.860516588028194,0.0012631225399672985,0.08429809659719467,-3.8043198585510254,0.9386458992958069,3.039501190185547,6.059136390686035,0.2798122242093086
195,1;2,0.1459895670413971,0.5109590291976929,0.5438453526709379,0.6240313633412409,0.33171990964827364,0.4157458563535912,0.7559707956936023,0.8323168703288905,8.123482168587772,2.0199584666388497,0.006334533449262381,0.270935982465744,-3.96233868598938,0.8384112119674683,7.952663421630859,18.210094451904297,0.28330453019589186
