patient_id,valid_labels,ncc_before,ncc_after,mean_dice_before,mean_dice_after,dice_label_1_before,dice_label_1_after,dice_label_2_before,dice_label_2_after,mean_hd95_after_mm,mean_assd_after_mm,negative_jacobian_ratio,below_safe_jacobian_ratio,minimum_jacobian,mean_jacobian,mean_displacement_mm,p95_displacement_mm,inference_seconds
24,1;2,0.22154279053211212,0.5778034925460815,0.5312089541454396,0.6629387780770803,0.413012729844413,0.49906191369606,0.6494051784464661,0.8268156424581006,4.060660171779821,0.9090022781137352,0.005461730994284153,0.17732574045658112,-2.728886842727661,0.8700457811355591,8.148905754089355,21.63682746887207,4.0087757259607315
27,1;2,0.21418243646621704,0.536284863948822,0.42000937690052664,0.5691550268382058,0.3561239547466798,0.5031482541499713,0.48389479905437355,0.6351617995264404,9.123310502226733,2.313738951653697,0.004460449330508709,0.14382049441337585,-3.869971990585327,0.8935836553573608,6.6247172355651855,17.335834503173828,1.3033099342137575
29,,0.11980139464139938,0.3592369854450226,nan,nan,,,,,nan,nan,0.0021331787575036287,0.199554443359375,-3.2950963973999023,0.9843371510505676,10.448745727539062,29.908180236816406,0.29405402578413486
33,1;2,0.24240168929100037,0.6574535369873047,0.3487626194943268,0.31512605042016806,0.06016260162601626,0.058823529411764705,0.6373626373626373,0.5714285714285714,18.447560814373265,5.515111422172861,0.007371215615421534,0.20006561279296875,-4.368556022644043,0.8574663996696472,7.7544755935668945,21.697799682617188,0.2802418814972043
36,1;2,0.16009917855262756,0.5516602396965027,0.5394877106411694,0.6645994063536356,0.42420102464015613,0.5052900825485409,0.6547743966421826,0.8239087301587301,6.796693311223912,2.3526676657872114,0.005401916336268187,0.17901916801929474,-4.999718189239502,0.8977841138839722,7.149046421051025,21.10568618774414,0.2847180124372244
67,1;2,0.16098745167255402,0.44619354605674744,0.39507473298220946,0.5462447017135161,0.5926459985580389,0.6529147982062781,0.19750346740638003,0.4395746052207541,8.270328238163948,1.8011348801732248,0.002979125827550888,0.14820465445518494,-4.160028457641602,0.9318802356719971,5.208287239074707,12.959997177124023,0.2951975455507636
94,2,0.10952479392290115,0.49047499895095825,0.24366150806717154,0.2636363636363636,,,0.24366150806717154,0.2636363636363636,10.045441169596616,3.3493679992762,0.0051599121652543545,0.17617003619670868,-4.802509307861328,0.8535592555999756,7.887884140014648,19.789875030517578,0.28503815829753876
113,1;2,0.26232531666755676,0.6857063174247742,0.7279945322784791,0.7993040745410801,0.7365530767344938,0.8069817400644468,0.7194359878224643,0.7916264090177134,4.060660171779821,1.014438989365403,0.007135314866900444,0.2063000500202179,-4.620009422302246,0.8475196361541748,8.141579627990723,21.89371109008789,0.28641760908067226
127,1;2,0.17531786859035492,0.4609593152999878,0.4391482054560948,0.4765243100438213,0.23842126459927507,0.2430751837196156,0.6398751463129145,0.709973436368027,19.5,4.179293883938685,0.002867736853659153,0.15227264165878296,-2.2867720127105713,0.8848670721054077,6.031972408294678,14.473140716552734,0.28989995457232
129,2,0.11398503929376602,0.6362082958221436,0.02168021680216802,0.1619103086779266,,,0.02168021680216802,0.1619103086779266,12.36931687685298,3.7464299678068613,0.008713378570973873,0.2769399881362915,-4.668919563293457,0.8483884930610657,9.424055099487305,20.935434341430664,0.29200540017336607
156,1,0.3209773302078247,0.46290457248687744,0.5026197604790419,0.6335616438356164,0.5026197604790419,0.6335616438356164,,,5.408326913195984,1.6183951905036422,0.001207275316119194,0.06489471346139908,-1.4798508882522583,0.9487108588218689,2.410065174102783,5.751512050628662,0.28924914821982384
166,1;2,0.3568313419818878,0.501535952091217,0.7367623525906697,0.7889708924489393,0.6194783340344973,0.7270841436535719,0.854046371146842,0.8508576412443066,4.299038105676658,1.1981890827224881,0.0009463501046411693,0.07023559510707855,-1.2665698528289795,0.9418795704841614,2.807717800140381,6.22688102722168,0.28663416020572186
171,1,0.1823485940694809,0.6593582034111023,0.8327000102701038,0.8422556677462374,0.8327000102701038,0.8422556677462374,,,3.0,0.9057287539104246,0.007086486555635929,0.2366708368062973,-4.444401264190674,0.8338142037391663,10.276418685913086,24.414236068725586,0.28191390447318554
177,2,0.30571484565734863,0.5013109445571899,0.6029572935194668,0.8407102287263982,,,0.6029572935194668,0.8407102287263982,7.648529270389178,1.529387604671042,0.001923522911965847,0.09371642768383026,-1.7953414916992188,0.9275213479995728,3.5289244651794434,8.526288986206055,0.2763577690348029
184,1;2,0.21913780272006989,0.46573370695114136,0.4758133356650316,0.5427535111091264,0.2245230562745662,0.285344928898813,0.727103615055497,0.8001620933194397,10.73933546332077,2.8790280617621984,0.0012359619140625,0.08085387945175171,-3.596592664718628,0.9305768609046936,3.278674840927124,6.991209983825684,0.2767134215682745
195,1;2,0.1459895670413971,0.5273791551589966,0.5438453526709379,0.6397148132824277,0.33171990964827364,0.42826704545454547,0.7559707956936023,0.8511625811103101,7.327473958824724,1.839509080507078,0.007067565806210041,0.3212835490703583,-5.593328475952148,0.7539407014846802,9.273205757141113,25.576316833496094,0.30024202913045883
