patient_id,valid_labels,ncc_before,ncc_after,mean_dice_before,mean_dice_after,dice_label_1_before,dice_label_1_after,dice_label_2_before,dice_label_2_after,mean_hd95_after_mm,mean_assd_after_mm,negative_jacobian_ratio,below_safe_jacobian_ratio,minimum_jacobian,mean_jacobian,mean_displacement_mm,p95_displacement_mm,inference_seconds
24,1;2,0.22154279053211212,0.5779082775115967,0.5312089541454396,0.6624715315999241,0.413012729844413,0.5037878787878788,0.6494051784464661,0.8211551844119693,4.060660171779821,0.9096978383137823,0.005484619177877903,0.17795684933662415,-4.468228816986084,0.8695734739303589,8.150503158569336,21.716001510620117,3.7998050367459655
27,1;2,0.21418243646621704,0.5366101861000061,0.42000937690052664,0.568738132379106,0.3561239547466798,0.5081659199306258,0.48389479905437355,0.6293103448275862,9.12414379544733,2.2964065006103453,0.004435424692928791,0.14396026730537415,-4.352137088775635,0.8934666514396667,6.675782203674316,17.39076805114746,0.9292580736801028
29,,0.11980139464139938,0.36036980152130127,nan,nan,,,,,nan,nan,0.0021298218052834272,0.20568786561489105,-2.351511001586914,0.982115626335144,10.533187866210938,30.27592658996582,0.2957701738923788
33,1;2,0.24240168929100037,0.6572998762130737,0.3487626194943268,0.316600532823024,0.06016260162601626,0.05674846625766871,0.6373626373626373,0.5764525993883792,18.447560814373265,5.529267901827261,0.00736236572265625,0.20031219720840454,-8.533892631530762,0.8575482964515686,7.764156818389893,21.89557647705078,0.28224960807710886
36,1;2,0.16009917855262756,0.5517277121543884,0.5394877106411694,0.6636812876114578,0.42420102464015613,0.5009203865623562,0.6547743966421826,0.8264421886605595,6.796693311223912,2.3744175475529357,0.00548553466796875,0.17949004471302032,-7.206140518188477,0.89737468957901,7.171926498413086,21.242048263549805,0.28186727687716484
67,1;2,0.16098745167255402,0.44810521602630615,0.39507473298220946,0.5495102742406279,0.5926459985580389,0.6548672566371682,0.19750346740638003,0.4441532918440878,8.161842991401809,1.744345327953487,0.0030422972049564123,0.1496536284685135,-7.592508316040039,0.9311959743499756,5.27846622467041,12.978078842163086,0.2973811961710453
94,2,0.10952479392290115,0.4939272105693817,0.24366150806717154,0.3177998472116119,,,0.24366150806717154,0.3177998472116119,8.077747210701755,2.792784829323033,0.005046691745519638,0.17812591791152954,-5.982297420501709,0.8524688482284546,8.088637351989746,19.884910583496094,0.28325126972049475
113,1;2,0.26232531666755676,0.6856964230537415,0.7279945322784791,0.7994451567450398,0.7365530767344938,0.8070891514500537,0.7194359878224643,0.7918011620400258,4.060660171779821,1.0161858462579016,0.007221069186925888,0.20777252316474915,-3.7283525466918945,0.8466612100601196,8.1785888671875,22.06999397277832,0.28737625665962696
127,1;2,0.17531786859035492,0.46099478006362915,0.4391482054560948,0.47313971397139715,0.23842126459927507,0.23872387238723872,0.6398751463129145,0.7075555555555556,19.513852152357206,4.233721368420415,0.0028909300453960896,0.15273529291152954,-2.3616323471069336,0.8853967785835266,6.067276477813721,14.512338638305664,0.29270512610673904
129,2,0.11398503929376602,0.6415274143218994,0.02168021680216802,0.2849557522123894,,,0.02168021680216802,0.2849557522123894,10.606601717798213,2.617038361639819,0.008750304579734802,0.27875182032585144,-5.050327777862549,0.848140299320221,9.866369247436523,21.087671279907227,0.2832774817943573
156,1,0.3209773302078247,0.46286138892173767,0.5026197604790419,0.6317584023380419,0.5026197604790419,0.6317584023380419,,,4.9749371855331,1.6164552201300755,0.001192016527056694,0.06513763219118118,-1.4112986326217651,0.9485154747962952,2.4222512245178223,5.765387058258057,0.29051727056503296
166,1;2,0.3568313419818878,0.501404881477356,0.7367623525906697,0.7883163739058936,0.6194783340344973,0.725977725977726,0.854046371146842,0.8506550218340612,4.391367324889903,1.2095863432068044,0.0009695434127934277,0.07045135647058487,-1.5416693687438965,0.9418220520019531,2.8203542232513428,6.245700836181641,0.28862307220697403
171,1,0.1823485940694809,0.6597009301185608,0.8327000102701038,0.8433711940440966,0.8327000102701038,0.8433711940440966,,,2.8593266739735146,0.8968487822623179,0.007042846642434597,0.237751767039299,-5.839189529418945,0.8317546844482422,10.364267349243164,24.62769889831543,0.2993529513478279
177,2,0.30571484565734863,0.5015564560890198,0.6029572935194668,0.8434156378600823,,,0.6029572935194668,0.8434156378600823,7.5,1.5196050285584188,0.0018988036317750812,0.09349609166383743,-1.6580504179000854,0.9276150465011597,3.5437963008880615,8.587310791015625,0.2807300966233015
184,1;2,0.21913780272006989,0.46622100472450256,0.4758133356650316,0.5428591402923104,0.2245230562745662,0.2852125043905866,0.727103615055497,0.8005057761940342,10.831967694925119,2.8951278948698174,0.001194763113744557,0.08071136474609375,-4.383392333984375,0.9302910566329956,3.317274808883667,7.084165096282959,0.2812012331560254
195,1;2,0.1459895670413971,0.5276886820793152,0.5438453526709379,0.6293607258544381,0.33171990964827364,0.41834607366226545,0.7559707956936023,0.8403753780466109,7.743416490252569,1.9505258750542291,0.0073648071847856045,0.32913878560066223,-5.309553146362305,0.7503539323806763,9.421897888183594,26.187604904174805,0.28343498706817627
